"","PEARNVAL","A_AGE","PRDTRACE","A_SEX","A_HGA","A_MARITL","PEHSPNON","MIG_DIV","A_USLHRS","A_CLSWKR","A_MJIND","A_MJOCC","MOOP","HEAbin","earnbin"
"1",18000,21,"White only","male","11th grade","Never married","No","new england",30,"Private","Leisure and hospitality","Service occupations",2050,"Good","0"
"64",90000,32,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",50,"Private","Transportation and utilities","Sales and related occupations",5708,"Good","1"
"85",40000,29,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",42,"Private","Other services","Service occupations",550,"Good","0"
"86",72000,51,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",70,"Government","Transportation and utilities","Management, business, and financial occupations",1710,"Good","1"
"89",64600,54,"White only","male","Some college but no degree","Married - civilian spouse present","No","new england",40,"Government","Public administration","Service occupations",4553,"Good","1"
"94",12002,76,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",17,"Private","Manufacturing","Production occupations",1446,"Bad","0"
"106",51488,51,"White only","male","Some college but no degree","Married - civilian spouse present","No","new england",42,"Government","Public administration","Installation, maintenance, and repair occupations",1300,"Good","0"
"112",40000,55,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",40,"Private","Educational and health services","Office and administrative support occupations",551,"Good","0"
"115",82000,44,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Private","Professional and business services","Professional and related occupations",2900,"Good","1"
"136",25000,49,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","new england",45,"Self-employed","Other services","Installation, maintenance, and repair occupations",200,"Good","0"
"150",57000,44,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Divorced","No","new england",20,"Self-employed","Professional and business services","Transportation and material moving occupations",6550,"Good","0"
"155",40560,37,"White only","male","9th grade","Married - civilian spouse present","No","new england",40,"Private","Construction","Construction and extraction occupations",0,"Good","0"
"163",80000,42,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Never married","No","new england",40,"Self-employed","Professional and business services","Professional and related occupations",5100,"Good","1"
"185",12000,20,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","new england",40,"Private","Wholesale and retail trade","Transportation and material moving occupations",930,"Good","0"
"186",17122,56,"White only","female","High school graduate - high school diploma or equivalent","Widowed","No","new england",35,"Private","Leisure and hospitality","Service occupations",2370,"Good","0"
"213",23000,21,"White only","male","Some college but no degree","Never married","No","new england",48,"Government","Public administration","Service occupations",1624,"Good","0"
"224",15680,64,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",16,"Government","Educational and health services","Service occupations",1700,"Good","0"
"229",45000,21,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","new england",55,"Government","Manufacturing","Production occupations",200,"Good","0"
"243",24000,52,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","new england",40,"Private","Educational and health services","Service occupations",100,"Good","0"
"302",40000,27,"White only","male","Associate degree in college - academic program","Never married","No","new england",40,"Private","Manufacturing","Production occupations",1088,"Good","0"
"314",26676,25,"White only","female","Some college but no degree","Never married","No","new england",36,"Private","Educational and health services","Service occupations",1715,"Good","0"
"316",20000,33,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","new england",30,"Self-employed","Construction","Construction and extraction occupations",25,"Good","0"
"324",30000,41,"White only","female","High school graduate - high school diploma or equivalent","Never married","No","new england",27,"Private","Educational and health services","Service occupations",120,"Good","0"
"348",84000,61,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",40,"Private","Manufacturing","Sales and related occupations",11450,"Good","1"
"365",99000,58,"White only","female","Some college but no degree","Married - civilian spouse present","No","new england",40,"Government","Transportation and utilities","Office and administrative support occupations",7250,"Bad","1"
"378",60982,59,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","new england",45,"Government","Educational and health services","Professional and related occupations",1280,"Good","1"
