"","PEARNVAL","A_AGE","PRDTRACE","A_SEX","A_HGA","A_MARITL","PEHSPNON","MIG_DIV","A_USLHRS","A_CLSWKR","A_MJIND","A_MJOCC","MOOP","HEAbin","earnbin"
"49978",30000,25,"Asian only","male","High school graduate - high school diploma or equivalent","Never married","No","west north central",30,"Private","Educational and health services","Service occupations",2750,"Good","0"
"141885",21000,47,"White only","female","Associate degree in college - academic program","Married - civilian spouse present","No","mountain",30,"Government","Educational and health services","Office and administrative support occupations",4800,"Good","0"
"70767",152000,39,"Asian only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","south atlantic",40,"Private","Other services","Professional and related occupations",5350,"Good","1"
"158871",63000,32,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","Yes","pacific",40,"Private","Manufacturing","Office and administrative support occupations",4080,"Good","1"
"169280",40000,53,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Never married","No","pacific",40,"Private","Information","Professional and related occupations",260,"Good","0"
"7107",85000,26,"Asian only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","new england",40,"Private","Manufacturing","Professional and related occupations",300,"Good","1"
"92728",16000,22,"White only","male","Some college but no degree","Never married","No","south atlantic",20,"Private","Leisure and hospitality","Service occupations",730,"Good","0"
"160504",144000,61,"White only","male","Associate degree in college - academic program","Married - civilian spouse present","No","pacific",40,"Private","Information","Management, business, and financial occupations",10,"Good","1"
"97398",96000,26,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east south central",40,"Private","Transportation and utilities","Installation, maintenance, and repair occupations",4090,"Good","1"
"79896",41929,55,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",40,"Private","Agriculture, forestry,fishing, and hunting","Production occupations",482,"Good","0"
"171965",90000,33,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","pacific",40,"Government","Public administration","Office and administrative support occupations",3175,"Good","1"
"79156",73000,46,"White only","female","Some college but no degree","Married - civilian spouse present","Yes","south atlantic",40,"Private","Professional and business services","Sales and related occupations",9300,"Good","1"
"121623",40000,50,"White only","male","Associate degree in college - academic program","Married - civilian spouse present","No","west south central",40,"Private","Educational and health services","Service occupations",3750,"Good","0"
"101145",25000,55,"White only","female","Some college but no degree","Married - civilian spouse present","No","east south central",40,"Private","Educational and health services","Professional and related occupations",25,"Good","0"
"17368",35000,33,"Others","male","Some college but no degree","Never married","No","middle atlantic",35,"Government","Leisure and hospitality","Service occupations",650,"Bad","0"
"161606",25000,31,"White only","female","Some college but no degree","Married - civilian spouse present","Yes","pacific",25,"Private","Wholesale and retail trade","Sales and related occupations",2900,"Good","0"
"43199",12000,26,"White only","female","High school graduate - high school diploma or equivalent","Never married","No","east north central",40,"Private","Wholesale and retail trade","Service occupations",350,"Bad","0"
"6530",70000,45,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",32,"Private","Professional and business services","Professional and related occupations",650,"Good","1"
"57243",6000,25,"White only","male","High school graduate - high school diploma or equivalent","Never married","Yes","west north central",40,"Private","Professional and business services","Service occupations",0,"Good","0"
"171570",30000,19,"White only","female","High school graduate - high school diploma or equivalent","Never married","Yes","pacific",40,"Private","Construction","Office and administrative support occupations",3343,"Good","0"
"159868",6000,28,"White only","female","High school graduate - high school diploma or equivalent","Never married","No","pacific",30,"Private","Educational and health services","Professional and related occupations",0,"Good","0"
"124437",25000,26,"White only","female","Some college but no degree","Married - civilian spouse present","Yes","pacific",40,"Private","Educational and health services","Professional and related occupations",120,"Good","0"
"115059",5000,68,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Divorced","No","west south central",12,"Government","Educational and health services","Transportation and material moving occupations",13700,"Good","0"
"178804",70000,45,"White only","female","Doctorate degree (for example: PHD,EDD)","Never married","No","pacific",40,"Government","Educational and health services","Professional and related occupations",800,"Good","1"
"117836",1200,41,"White only","female","Associate degree in college - occupation/vocation program","Married - AF spouse present","Yes","west south central",20,"Government","Educational and health services","Service occupations",540,"Good","0"
"127311",50000,39,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","Yes","west south central",45,"Private","Financial activities","Sales and related occupations",3600,"Good","0"
"95708",150000,46,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east south central",40,"Private","Wholesale and retail trade","Sales and related occupations",2450,"Good","1"
"105339",26000,39,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","east south central",40,"Private","Professional and business services","Installation, maintenance, and repair occupations",2850,"Good","0"
"50220",47000,31,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","west north central",45,"Private","Wholesale and retail trade","Transportation and material moving occupations",50,"Good","0"
"25206",68000,33,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","middle atlantic",40,"Private","Wholesale and retail trade","Office and administrative support occupations",500,"Good","1"
"172745",30000,46,"Asian only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","Yes","pacific",40,"Private","Educational and health services","Service occupations",630,"Good","0"
"161880",57000,52,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","Yes","pacific",40,"Private","Professional and business services","Office and administrative support occupations",600,"Good","0"
"124032",4000,23,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","west south central",20,"Private","Wholesale and retail trade","Sales and related occupations",100,"Good","0"
"143133",15800,48,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","mountain",36,"Private","Professional and business services","Service occupations",50,"Good","0"
"3968",50000,51,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","new england",40,"Private","Professional and business services","Management, business, and financial occupations",4675,"Good","0"
"83916",52000,32,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Widowed","No","south atlantic",40,"Private","Professional and business services","Professional and related occupations",2150,"Good","0"
"136480",20000,22,"White only","female","Associate degree in college - academic program","Never married","Yes","mountain",33,"Private","Wholesale and retail trade","Office and administrative support occupations",300,"Good","0"
"37791",70000,65,"Asian only","female","Bachelor's degree (for example: BA,AB,BS)","Divorced","No","east north central",40,"Private","Educational and health services","Office and administrative support occupations",100,"Bad","1"
"55340",55200,48,"White only","male","Some college but no degree","Married - civilian spouse present","Yes","west north central",50,"Private","Agriculture, forestry,fishing, and hunting","Farming, fishing, and forestry occupations",300,"Good","0"
"40408",30000,62,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",40,"Self-employed","Construction","Construction and extraction occupations",115,"Good","0"
"24470",86000,58,"White only","male","Some college but no degree","Married - civilian spouse present","No","middle atlantic",40,"Private","Transportation and utilities","Transportation and material moving occupations",600,"Good","1"
"71572",130000,46,"Asian only","female","Doctorate degree (for example: PHD,EDD)","Married - civilian spouse present","No","south atlantic",40,"Private","Educational and health services","Professional and related occupations",2020,"Good","1"
"71479",30000,30,"Black only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",38,"Government","Public administration","Management, business, and financial occupations",4500,"Good","0"
"64336",40002,28,"White only","male","High school graduate - high school diploma or equivalent","Divorced","No","south atlantic",40,"Private","Other services","Production occupations",1600,"Good","0"
"26049",15000,25,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","middle atlantic",40,"Private","Other services","Installation, maintenance, and repair occupations",210,"Good","0"
"23776",35000,68,"White only","female","Associate degree in college - academic program","Married - civilian spouse present","No","middle atlantic",8,"Private","Educational and health services","Professional and related occupations",1440,"Good","0"
"40648",145000,45,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Divorced","No","east north central",40,"Private","Professional and business services","Management, business, and financial occupations",6200,"Good","1"
"81453",27000,39,"Black only","female","Some college but no degree","Never married","No","south atlantic",40,"Government","Public administration","Office and administrative support occupations",2600,"Good","0"
"46444",9198,42,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","west north central",20,"Private","Leisure and hospitality","Service occupations",617,"Good","0"
"154012",75000,44,"Black only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","pacific",40,"Private","Wholesale and retail trade","Sales and related occupations",300,"Good","1"
"7177",100002,35,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","new england",80,"Private","Construction","Production occupations",625,"Good","1"
"76988",18000,70,"White only","male","Some college but no degree","Divorced","No","south atlantic",50,"Self-employed","Financial activities","Sales and related occupations",14250,"Good","0"
"143612",222000,42,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","mountain",40,"Private","Financial activities","Management, business, and financial occupations",0,"Good","1"
"20852",140000,45,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","middle atlantic",40,"Private","Educational and health services","Professional and related occupations",300,"Good","1"
"98912",60000,27,"Black only","male","Associate degree in college - academic program","Never married","No","east south central",40,"Government","Public administration","Service occupations",1200,"Good","0"
"35989",13350,17,"White only","male","12th grade no diploma","Never married","Yes","east north central",25,"Private","Wholesale and retail trade","Office and administrative support occupations",1000,"Good","0"
"21773",110000,66,"White only","female","Doctorate degree (for example: PHD,EDD)","Married - civilian spouse present","No","middle atlantic",35,"Private","Educational and health services","Management, business, and financial occupations",350,"Good","1"
"135426",184000,35,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","west north central",40,"Private","Financial activities","Sales and related occupations",9350,"Good","1"
"160692",67000,46,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","Yes","pacific",40,"Private","Wholesale and retail trade","Sales and related occupations",450,"Good","1"
"65131",30000,57,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","south atlantic",30,"Government","Educational and health services","Office and administrative support occupations",11900,"Good","0"
"119266",6900,20,"White only","female","Some college but no degree","Never married","Yes","west south central",40,"Private","Leisure and hospitality","Service occupations",20,"Good","0"
"16014",130000,40,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","middle atlantic",10,"Private","Financial activities","Sales and related occupations",1300,"Good","1"
"66490",115000,31,"White only","female","Professional school degree (for example: MD,DDS,DVM,LLB,JD)","Never married","No","south atlantic",25,"Self-employed","Leisure and hospitality","Service occupations",2550,"Good","1"
"47779",35000,50,"White only","female","Associate degree in college - academic program","Married - civilian spouse present","No","west north central",40,"Private","Manufacturing","Office and administrative support occupations",6650,"Good","0"
"146575",17000,62,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","mountain",22,"Self-employed","Educational and health services","Professional and related occupations",3800,"Good","0"
"78130",49000,42,"White only","male","10th grade","Married - civilian spouse present","Yes","south atlantic",40,"Private","Construction","Construction and extraction occupations",3070,"Good","0"
"145729",44000,25,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","mountain",40,"Private","Wholesale and retail trade","Sales and related occupations",4100,"Good","0"
"146101",10000,37,"White only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","mountain",18,"Government","Educational and health services","Professional and related occupations",1550,"Good","0"
"142823",18969,24,"White only","male","Some college but no degree","Never married","No","mountain",25,"Private","Wholesale and retail trade","Sales and related occupations",250,"Good","0"
"76518",45000,45,"White only","male","9th grade","Married - civilian spouse present","Yes","south atlantic",55,"Private","Wholesale and retail trade","Transportation and material moving occupations",7840,"Good","0"
"135594",69000,47,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Divorced","No","mountain",50,"Government","Educational and health services","Professional and related occupations",4100,"Good","1"
"112578",29000,26,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","west south central",36,"Private","Other services","Management, business, and financial occupations",600,"Good","0"
"127405",62000,65,"White only","female","Associate degree in college - occupation/vocation program","Married - civilian spouse present","No","west south central",40,"Private","Construction","Management, business, and financial occupations",3800,"Good","1"
"125",150000,32,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","new england",70,"Self-employed","Agriculture, forestry,fishing, and hunting","Farming, fishing, and forestry occupations",4735,"Good","1"
"83342",8000,29,"White only","male","High school graduate - high school diploma or equivalent","Never married","Yes","south atlantic",40,"Private","Construction","Construction and extraction occupations",200,"Good","0"
"38361",18000,41,"White only","male","High school graduate - high school diploma or equivalent","Never married","No","east north central",32,"Private","Wholesale and retail trade","Office and administrative support occupations",50,"Good","0"
"65897",75000,37,"Black only","female","Bachelor's degree (for example: BA,AB,BS)","Divorced","No","south atlantic",36,"Private","Educational and health services","Professional and related occupations",5250,"Good","1"
"109102",55000,49,"Black only","female","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","west south central",40,"Private","Educational and health services","Professional and related occupations",8150,"Good","0"
"61297",9239,37,"White only","female","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Divorced","No","west north central",24,"Private","Financial activities","Professional and related occupations",304,"Good","0"
"18739",7000,21,"Black only","female","High school graduate - high school diploma or equivalent","Never married","No","middle atlantic",25,"Private","Educational and health services","Office and administrative support occupations",25,"Good","0"
"42581",64000,61,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","east north central",30,"Government","Public administration","Office and administrative support occupations",5450,"Good","1"
"119662",155000,34,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","west south central",50,"Private","Other services","Management, business, and financial occupations",6350,"Good","1"
"71921",55000,34,"White only","male","Some college but no degree","Separated","No","south atlantic",40,"Private","Financial activities","Management, business, and financial occupations",2230,"Good","0"
"141523",52000,45,"White only","male","Associate degree in college - academic program","Married - civilian spouse present","No","mountain",50,"Private","Wholesale and retail trade","Sales and related occupations",6500,"Good","0"
"17314",52000,46,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","middle atlantic",40,"Private","Educational and health services","Professional and related occupations",50,"Good","0"
"75470",25000,77,"Black only","female","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",38,"Government","Professional and business services","Transportation and material moving occupations",800,"Good","0"
"176684",15000,37,"White only","female","Associate degree in college - occupation/vocation program","Married - civilian spouse present","No","pacific",20,"Self-employed","Wholesale and retail trade","Sales and related occupations",105,"Good","0"
"160128",195000,60,"White only","male","Bachelor's degree (for example: BA,AB,BS)","Married - civilian spouse present","No","pacific",40,"Private","Manufacturing","Management, business, and financial occupations",80,"Good","1"
"159031",8000,50,"White only","female","Bachelor's degree (for example: BA,AB,BS)","Never married","No","pacific",20,"Private","Financial activities","Sales and related occupations",0,"Good","0"
"30280",55000,32,"Black only","male","Some college but no degree","Married - civilian spouse present","No","east north central",60,"Private","Financial activities","Management, business, and financial occupations",0,"Good","0"
"22324",63000,52,"White only","male","Doctorate degree (for example: PHD,EDD)","Married - civilian spouse present","No","middle atlantic",40,"Government","Educational and health services","Professional and related occupations",4486,"Good","1"
"116983",75000,51,"White only","female","High school graduate - high school diploma or equivalent","Separated","No","west south central",48,"Private","Financial activities","Office and administrative support occupations",4032,"Good","1"
"59781",48000,45,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","abroad",40,"Private","Construction","Construction and extraction occupations",1570,"Good","0"
"117701",50000,35,"White only","female","Associate degree in college - occupation/vocation program","Divorced","Yes","west south central",40,"Private","Educational and health services","Professional and related occupations",1200,"Good","0"
"55632",35000,55,"White only","male","High school graduate - high school diploma or equivalent","Never married","Yes","west north central",40,"Private","Manufacturing","Production occupations",20,"Good","0"
"32636",20000,24,"White-Black","male","Associate degree in college - academic program","Divorced","No","east north central",40,"Government","Public administration","Office and administrative support occupations",30,"Bad","0"
"140349",25000,50,"White only","female","5th or 6th grade","Married - spouse absent (exc.separated)","Yes","mountain",40,"Private","Manufacturing","Sales and related occupations",3700,"Good","0"
"15797",45000,43,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","middle atlantic",40,"Private","Financial activities","Management, business, and financial occupations",1300,"Good","0"
"179693",75000,65,"Hawaiian/Pacific Islander only (HP)","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","pacific",40,"Private","Professional and business services","Installation, maintenance, and repair occupations",2000,"Good","1"
"89591",30000,27,"Black only","male","Bachelor's degree (for example: BA,AB,BS)","Never married","No","south atlantic",40,"Private","Educational and health services","Office and administrative support occupations",554,"Good","0"
"106208",100000,58,"White only","male","Master's degree (for example: MA,MS,MENG,MED,MSW , MBA)","Married - civilian spouse present","No","east south central",40,"Self-employed","Wholesale and retail trade","Sales and related occupations",240,"Good","1"
"57969",3000,19,"White-AI","male","Some college but no degree","Never married","No","west north central",25,"Private","Construction","Construction and extraction occupations",2700,"Good","0"
"85658",27000,42,"White only","male","High school graduate - high school diploma or equivalent","Married - civilian spouse present","No","south atlantic",40,"Private","Information","Installation, maintenance, and repair occupations",900,"Good","0"
"171149",20000,20,"White only","male","Some college but no degree","Never married","No","pacific",28,"Private","Educational and health services","Service occupations",100,"Good","0"
